artist,track_name,album,label,popularity,uri,streaming
Josman,"FREE CONGO (ft. Gradur, Ninho, Damso, Youssoupha, Kalash Criminel)",FREE CONGO,Grand Sheguey,65,spotify:track:6RAYjbw8M4gZ5lkZKipWFC,3907891
Josman,My love (feat. Tayc),My love (feat. Tayc),SIDELINE,64,spotify:track:1QtUnWsxvPKHmNgoaksOBv,54660256
Josman,Senorita,HHHH,SIDELINE,63,spotify:track:09iCConrp2c78DObRUgiNP,43745308
Josman,BabyGirl,SPLIT,SIDELINE,62,spotify:track:3gOwkbPvMOjzkavWbzKKZM,38476171
Josman,Dans le vide,Matrix,Choke Industry,63,spotify:track:4WYhQviUDsXVzLp6oncwJS,50368717
Damso,Triple V (ft. Werenoi & Ninho),Diamant Noir,PLR Music / PGP Records,77,spotify:track:6e1T28Wkr7r8xciTXcwhKJ,6273900
Damso,Alpha (ft. Kalash),J'AI MENTI.,Trente-quatre centimes,72,spotify:track:1y7dY7Xu4nWM4SK2dEnoAT,57152807
Damso,Macarena,Ipséité,Universal Music Division Carthage Music,71,spotify:track:2ewjMyCbNv2X1dB2qIDCwD,250897693
Damso,Dieu ne ment jamais,Ipséité,Universal Music Division Carthage Music,70,spotify:track:6YWjskKykdPsBuiTBOg1VK,155020270
Damso,Pyramide (ft. Werenoi),Pyramide,AllPoints,69,spotify:track:0xVMWYKYXKpiKqejjCIMDQ,73286007
Damso,Signaler,Ipséité,Universal Music Division Carthage Music,68,spotify:track:0z0izoGFPCoPJKFi41azyb,157039108
Damso,02:00 (ft. SCH),JVLIVS III : Ad Finem,Maison Baron Rouge / WMF,67,spotify:track:62L3acprR92NoRib0zWigG,17123918
Damso,Mwaka Moon (ft. Kalash),Mwaka Moon,Universal Music Division Capitol Music France,67,spotify:track:7LDq2cE0TQV66BXorbV8FD,182061806
Zola,Papers (feat. Ninho),Cicatrices,AWA,61,spotify:track:3vmoC735YdyvsrF0HtbmGn,116789670
Zola,Temps en temps (Koba LaD),Frères Ennemis,Truth Records / AWA / BMF,63,spotify:track:01zsTmucc72th13AWj9HPf,77044206
Zola,9 1 1 3 (feat. SCH),Survie,AWA,60,spotify:track:3WCMzZvH2zK476lasbLx0s,62598917
Zola,L1 L2,Cicatrices,AWA,59,spotify:track:7ftimUupzPRi0m8z3WaXvw,61700858
Zola,California Girl,"California Girl (Extrait de la BOF de ""Taxi 5"")",Universal Music Division Capitol Music France,61,spotify:track:2CdwW0Zz3dQlX9cHzsC83y,44456690
Zola,AMBER,DIAMANT DU BLED,AWA,61,spotify:track:3OFAB9JacVGaz4CWSsfZhZ,124988946
Zola,Madame,Survie,AWA,58,spotify:track:1zJhKME0phSFx577DpKMGk,59128183
Zola,COEUR DE ICE (feat. Damso),DIAMANT DU BLED,AWA,60,spotify:track:6IGg7qsBvA5xbrwz3MNHWK,52111166
Ninho,Vrais,M.I.L.S 2.0,Rec. 118 / Mal Luné Music,76,spotify:track:6WfnzeciIa1Ta661GY9hue,66774486
Ninho,La vie qu'on mène,Destin,Rec. 118 / Mal Luné Music,75,spotify:track:0Jh6iWjna1wk5le0Ahn7No,304617037
Ninho,Putana,Destin,Rec. 118 / Mal Luné Music,74,spotify:track:5oePa8PlOTPAlRaGs2OZ3A,182071786
Ninho,Collabo (ft. Niska),GOAT,Jefe Productions / Charo Inc / WMF / UMF,73,spotify:track:5SLs7GOdSvWhbxxJkTqf2u,33977877
Ninho,Dis-moi que tu m'aimes,M.I.L.S,Rec. 118 / Mal Luné Music,71,spotify:track:0u6HzAVFUBiKslzPF9G9vd,112525078
Ninho,Zipette,M.I.L.S 3,Rec. 118 / Mal Luné Music,69,spotify:track:1Lulg5ZiMEXy3QNwb1PB8I,119097801
Ninho,Un Poco,M.I.L.S 2.0,Rec. 118 / Mal Luné Music,69,spotify:track:3MVTefqbeNX5yHFOmnHy3X,99544761
